time, q_w, q_x, q_y, q_z, p_x, p_y, p_z
1403636897201666560,0.599622,0.0510952,-0.795352,0.0725047,-0.129735,0.18027,0.00590044
1403636897451666432,0.592455,0.0454768,-0.801811,0.0634593,-0.110915,0.195861,0.00442311
1403636897551666432,0.585453,0.0430678,-0.807656,0.0555138,-0.0995111,0.206804,0.00382412
1403636897651666432,0.572618,0.0436955,-0.817386,0.0455996,-0.0859999,0.219806,0.00629088
1403636897701666560,0.564832,0.0451971,-0.822998,0.0399532,-0.0787702,0.226798,0.00966693
1403636897851666432,0.547695,0.0502404,-0.834596,0.0309047,-0.060526,0.24786,0.0304161
1403636897951666432,0.546836,0.0527503,-0.835043,0.0298411,-0.0539181,0.259171,0.052187
1403636898151666432,0.563081,0.0562689,-0.82373,0.0352488,-0.0500247,0.269076,0.0823041
1403636898501666560,0.563677,0.065762,-0.822233,0.0433135,-0.0675079,0.273037,0.138841
1403636898901666560,0.560403,0.0707445,-0.823575,0.05165,-0.110312,0.268843,0.212167
1403636899251666432,0.572321,0.0404473,-0.817807,0.044778,-0.178642,0.2728,0.256112
1403636899451666432,0.586128,0.00186666,-0.810086,0.0145222,-0.215897,0.289186,0.268734
1403636899651666432,0.574148,-0.0339494,-0.818038,0.00390356,-0.255424,0.315317,0.282194
1403636900001666560,0.573045,-0.0442069,-0.818043,-0.0217013,-0.313562,0.38311,0.297308
1403636900301666560,0.584358,-0.0389354,-0.810128,-0.0264857,-0.360072,0.451748,0.316891
1403636901051666432,0.56535,-0.0389549,-0.823925,0.00305421,-0.473436,0.635742,0.417832
1403636901701666560,0.573386,-0.0297513,-0.818654,-0.012172,-0.641517,0.913546,0.435338
1403636902851666432,0.576303,-0.0312526,-0.816253,-0.0250778,-0.951974,1.5372,0.284737
1403636904451666432,0.573625,-0.0327034,-0.81846,-0.00285388,-1.29599,2.15293,0.50765
1403636905801666560,0.565602,-0.0160519,-0.824204,-0.0228906,-1.70322,2.82023,0.652307
1403636907651666432,0.557814,-0.0149167,-0.829774,0.0098013,-2.56687,3.2323,0.646237
1403636908651666432,0.569666,0.00774511,-0.821827,0.00463297,-3.20248,3.53859,0.680037
1403636909501666560,0.564349,0.0038786,-0.825457,0.010724,-3.78303,3.78629,0.76527
1403636910651666432,0.57083,0.0111818,-0.82099,0.00196011,-4.66263,4.14925,0.619958
1403636911901666560,0.569172,0.000636481,-0.822082,0.0149812,-5.43126,4.3686,0.606413
1403636913151666432,0.58276,-9.85429e-05,-0.812622,0.00605156,-6.11134,4.73116,0.470744
1403636914751666432,0.578898,0.00280661,-0.81539,-0.00281299,-6.88224,5.53435,0.442329
1403636916451666432,0.576751,0.0025792,-0.816873,-0.00841865,-7.53173,6.22048,0.527505
1403636917451666432,0.577479,-0.0826051,-0.809557,-0.0656678,-7.78421,6.49496,0.421431
1403636919701666560,0.576143,-0.160948,-0.792425,-0.119236,-8.1344,6.63184,0.706573
1403636923251666432,0.561782,-0.244517,-0.773826,-0.160638,-7.411,6.9753,0.476419
1403636925701666560,0.499431,-0.289785,-0.792332,-0.196984,-7.76634,7.76971,0.166484
1403636927151666432,0.535499,-0.336717,-0.745115,-0.211345,-8.32007,8.50278,0.0873571
1403636927951666432,0.476386,-0.401325,-0.737366,-0.261315,-8.40953,8.99318,-0.0330391
1403636929001666560,0.503612,-0.385588,-0.723679,-0.272003,-8.77878,9.82057,-0.0943986
1403636930801666560,0.521483,-0.387967,-0.714258,-0.259562,-9.02136,10.8885,0.1472
1403636932601666560,0.497673,-0.416638,-0.685602,-0.329673,-8.4708,11.0899,0.176177
1403636934351666432,0.444638,-0.537175,-0.607199,-0.380853,-8.06135,10.2148,0.190872
1403636934701666560,0.409621,-0.601085,-0.549715,-0.410756,-7.95945,10.0348,0.150972
1403636935201666560,0.38408,-0.615555,-0.537204,-0.4301,-7.80843,9.78952,0.27357
1403636937051666432,0.378698,-0.610677,-0.545798,-0.431006,-7.13917,9.34478,0.245042
1403636939301666560,0.371863,-0.635269,-0.514445,-0.439883,-6.54316,8.89833,0.0452122
1403636940051666432,0.38447,-0.62955,-0.506013,-0.44699,-6.20685,8.5231,0.0198964
1403636940551666432,0.370672,-0.651066,-0.488364,-0.447455,-5.94263,8.1613,-0.0816939
1403636940901666560,0.346859,-0.659724,-0.499175,-0.441903,-5.78097,7.95015,-0.0955238
1403636941451666432,0.35776,-0.645547,-0.498265,-0.454982,-5.47451,7.63448,0.00377886
1403636941851666432,0.360442,-0.64116,-0.505967,-0.450548,-5.25356,7.38525,0.0146893
1403636942301666560,0.368651,-0.64567,-0.500803,-0.443174,-5.00741,7.10776,0.0695082
1403636942651666432,0.367724,-0.655564,-0.495492,-0.43532,-4.83558,6.93778,0.0523691
1403636943001666560,0.357844,-0.651035,-0.497696,-0.44766,-4.60928,6.72685,0.0299122
1403636943801666560,0.352344,-0.647706,-0.489433,-0.465603,-4.16752,6.33366,0.00575131
1403636944551666432,0.356758,-0.631316,-0.527792,-0.442266,-3.81945,6.0088,-0.126414
1403636947201666560,0.379141,-0.651476,-0.510678,-0.413568,-3.75532,5.47113,-0.519899
1403636949801666560,0.384879,-0.622453,-0.532819,-0.424882,-4.00871,6.23558,-0.865702
