time, q_w, q_x, q_y, q_z, v_x, v_y, v_z, p_x, p_y, p_z, b_w_x, b_w_y, b_w_z, b_a_x, b_a_y, b_a_z
1403636858701666560,0.585659,-0.037294,-0.809699,0,0,0,0,0,0,0,0,0,0,0,0,0
1403636858751666432,0.583359,-0.0400198,-0.811227,-0.00101619,-0.012164,0.00515531,0.0158824,-0.00043825,0.000230465,0.000299926,-0.00021004,-0.000208671,0.000393613,8.06536e-07,-1.93539e-07,-9.44156e-07
1403636858801666560,0.540957,-0.0443966,-0.839878,-0.000379996,-0.120327,0.00912617,0.05143,-0.00614157,-0.000504665,0.00286486,-0.000613382,-0.000588696,0.000678276,0.000428916,-5.66114e-05,-0.000196235
1403636858851666432,0.54118,-0.0470063,-0.839592,-0.000864972,-0.159182,0.0803037,0.0996701,-0.0100065,0.00887544,0.0100076,-0.00117978,-0.000778879,0.00127616,-0.00054786,9.41843e-05,0.000680766
1403636858901666560,0.545746,-0.0502881,-0.836439,-0.00165056,-0.168957,0.101274,0.130442,-0.0115496,0.0140469,0.01655,-0.00218652,-0.000316162,0.00185473,-0.00369345,-0.000504821,0.00399376
1403636858951666432,0.557705,-0.0530335,-0.828341,-0.00190223,-0.157006,0.0936351,0.140777,-0.0136975,0.0162241,0.0215751,-0.00398383,0.000156522,0.00318823,-0.00924124,0.00167455,0.0100549
1403636859001666560,0.563463,-0.0556602,-0.824259,-0.00273776,-0.162405,0.103264,0.153164,-0.0189317,0.020113,0.0276118,-0.00533076,0.000247565,0.00399296,-0.00940734,0.000470741,0.0111559
1403636859051666432,0.570546,-0.0574878,-0.819244,-0.00340791,-0.125365,0.0951592,0.142577,-0.0204546,0.0235563,0.0326759,-0.0081553,0.000338146,0.00574526,-0.00864902,-0.000321136,0.0114243
1403636859101666560,0.582603,-0.0561357,-0.810807,-0.00388295,-0.0271516,0.0947281,0.121465,-0.00841126,0.0266845,0.0351497,-0.01783,0.00284521,0.0164126,0.0144499,-0.0113194,-0.000485382
1403636859151666432,0.581216,-0.0576718,-0.811693,-0.0040122,-0.0198048,0.0944365,0.101098,-0.00833553,0.0312457,0.0402718,-0.0181094,0.00323832,0.0174873,0.0126963,-0.0111089,-0.000302843
