time, q_w, q_x, q_y, q_z, v_x, v_y, v_z, p_x, p_y, p_z, b_w_x, b_w_y, b_w_z, b_a_x, b_a_y, b_a_z
1403636579813555456,0.579696,-0.0467108,-0.813493,0,0,0,0,0,0,0,0,0,0,0,0,0
1403636579863555584,0.574743,-0.0463093,-0.817009,-0.00470727,-0.00856749,-0.00457102,-0.0401842,-0.000106303,-0.000246658,-0.000531076,9.20616e-05,-0.000114603,0.00022458,-1.77566e-06,4.28571e-07,5.69785e-07
1403636579913555456,0.570985,-0.0482436,-0.81953,-0.00444594,-0.00662278,-0.010071,-0.102078,-0.00091263,-0.000645319,-0.00451103,-2.75358e-05,-0.000230204,0.000372632,-6.074e-05,-0.000160337,-0.000145875
1403636579963555584,0.566575,-0.0500397,-0.822484,-0.00296857,-0.0133745,-0.00425857,-0.134492,-0.00147514,-0.00119537,-0.0106479,-0.00010333,-0.000256447,0.000447275,-7.83517e-05,-0.000237665,-0.000133386
1403636580013555456,0.563116,-0.0530821,-0.824671,-0.000657745,-0.0182445,-0.00838761,-0.164934,-0.00223692,-0.00145947,-0.0183563,-0.000147529,-0.000266667,0.000485184,-7.1047e-05,-0.000229605,-8.19412e-05
1403636580063555584,0.560719,-0.0555682,-0.826139,0.000855842,-0.0304146,0.0209996,-0.162067,-0.00336212,-0.00119339,-0.026932,-0.000194843,-0.000272252,0.000516517,-4.0993e-05,-0.000211175,-2.88734e-05
1403636580113555456,0.559228,-0.058833,-0.826916,0.00361042,-0.0329203,0.0277301,-0.150232,-0.00508014,-3.04111e-05,-0.0350572,-0.000243262,-0.000275583,0.000543942,2.84149e-05,-0.000184573,1.28844e-05
1403636580163555584,0.558135,-0.0612775,-0.827464,0.00580803,-0.0417463,0.0498983,-0.124529,-0.0068222,0.0018189,-0.0420582,-0.000253338,-0.000275593,0.000549559,4.83412e-05,-0.000179345,1.75945e-05
1403636580213555456,0.556757,-0.0627748,-0.828267,0.0073673,-0.0474309,0.0704436,-0.0934598,-0.00910974,0.00481673,-0.0477403,-0.000273315,-0.000274342,0.000560244,6.74297e-05,-0.000165744,3.64561e-05
1403636580263555584,0.555029,-0.0638393,-0.829336,0.00831332,-0.0563204,0.0870748,-0.0545466,-0.0117035,0.00868293,-0.0514885,-0.000282918,-0.000274704,0.00056622,7.35079e-05,-0.00015884,4.70496e-05
1403636580313555456,0.552236,-0.0636071,-0.831219,0.00797055,-0.0492061,0.111634,-0.0160412,-0.0143309,0.0136769,-0.053237,-0.000287821,-0.000274943,0.000569312,7.77076e-05,-0.000155757,5.13152e-05
1403636580363555584,0.54809,-0.0643193,-0.833884,0.0098875,-0.0544979,0.132618,0.0111269,-0.0168953,0.0196174,-0.0535078,-0.000292742,-0.000275217,0.00057248,8.09088e-05,-0.000152661,5.57088e-05
1403636580413555456,0.542334,-0.0648844,-0.837588,0.0105008,-0.0652888,0.165091,0.0614213,-0.0194061,0.0269083,-0.0525264,-0.00040457,-0.000279811,0.000648021,0.00010865,-0.000117545,0.000142786
1403636580463555584,0.537233,-0.0622861,-0.841039,0.0124084,-0.0197087,0.125242,0.0207129,-0.00462515,0.017973,-0.0938169,-0.0130074,0.000503418,0.0107942,0.0731883,0.07622,0.0192512
1403636580513555456,0.533317,-0.0583078,-0.843814,0.0122593,0.0129327,0.083534,0.106932,0.00772979,0.00945358,-0.100228,-0.0237068,0.00546149,0.0279542,0.172994,0.161331,-0.00274259
1403636580563555584,0.527434,-0.0571873,-0.847574,0.0126911,-0.00605646,0.0846684,0.289424,0.00658014,0.00834587,-0.0843701,-0.0232551,0.0116426,0.0353588,0.161891,0.166039,-0.0181657
1403636580613555456,0.525551,-0.0551418,-0.848892,0.0117824,-0.0185594,0.0560111,0.499353,0.00860288,0.00149759,-0.0535727,-0.0203391,0.0157138,0.0433584,0.136603,0.181341,-0.0153709
1403636580663555584,0.526914,-0.0542794,-0.848114,0.010826,-0.0352764,0.0513808,0.644995,0.00799923,-9.85418e-05,-0.0243955,-0.0200754,0.0162008,0.0446953,0.13437,0.169752,-0.0183343
1403636580713555456,0.530265,-0.0538404,-0.846072,0.00905983,-0.0514051,0.0718704,0.76135,0.00609054,0.00165698,0.0110259,-0.0199438,0.0163851,0.0451923,0.134977,0.174674,-0.0184942
1403636580763555584,0.534006,-0.0520162,-0.843869,0.00412451,-0.0753387,0.0618678,0.854833,0.00400046,-0.0023629,0.0510207,-0.0163481,0.020375,0.0534133,0.14145,0.205738,-0.0180624
1403636580813555456,0.537892,-0.0501366,-0.841516,-0.00311998,-0.097885,0.0524717,0.941055,-0.00581699,-0.000430371,0.106924,-0.0098914,0.0269017,0.0646912,0.115839,0.210861,-0.019279
1403636580863555584,0.543307,-0.0500556,-0.837978,-0.0102867,-0.115254,0.0504475,1.02341,-0.0126049,0.000470579,0.175777,-0.00728625,0.0288004,0.0676852,0.0805229,0.217369,-0.0045932
1403636580913555456,0.548631,-0.0493668,-0.834411,-0.0180261,-0.112978,0.0261211,1.01112,-0.0171245,0.000965904,0.22775,-0.00670568,0.0326082,0.0692508,0.0740232,0.198991,-0.00358307
1403636580963555584,0.554487,-0.0490972,-0.830475,-0.0210873,-0.101469,0.0156467,0.994007,-0.020284,0.000478574,0.285271,-0.00678436,0.0333294,0.0693205,0.0640735,0.203098,0.00780669
1403636581013555456,0.560339,-0.048298,-0.82657,-0.0216678,-0.0881019,0.0126453,0.94912,-0.0209038,0.00163225,0.340886,-0.00774937,0.0322957,0.0683524,0.0563186,0.20251,0.0210845
1403636581063555584,0.566562,-0.0480316,-0.822346,-0.0211579,-0.0724426,0.0287,0.907968,-0.0214577,0.0016819,0.387475,-0.00844291,0.0303911,0.0673392,0.052056,0.182617,0.0225107
1403636581113555456,0.572244,-0.0493146,-0.818328,-0.0210718,-0.0691522,0.0347193,0.824412,-0.0229827,0.00213355,0.418796,-0.00812851,0.0289007,0.0668175,0.0699414,0.182983,0.018865
1403636581163555584,0.57925,-0.0521841,-0.813236,-0.0198343,-0.0494515,0.051726,0.738692,-0.0266768,0.00571097,0.446129,-0.00829593,0.0267188,0.0664612,0.0841667,0.1796,0.0103885
1403636581213555456,0.586671,-0.0528914,-0.807835,-0.0205525,-0.0315441,0.0517465,0.631415,-0.0265435,0.00596548,0.464346,-0.00830391,0.0244585,0.0675403,0.0998556,0.154792,0.000634495
