time, q_w, q_x, q_y, q_z, p_x, p_y, p_z
1403636624463555584,0.586008,0.0176239,-0.808557,0.0501836,-0.1097,0.0633433,-0.00623462
1403636624713555456,0.580827,0.0197004,-0.812866,0.0387335,-0.0952546,0.0851453,-0.00681311
1403636624813555456,0.580065,0.026131,-0.813585,0.0303337,-0.0856148,0.0992365,-0.00724885
1403636625063555584,0.555627,0.0460551,-0.830139,0.00515697,-0.048437,0.134267,0.0235314
1403636625213555456,0.550351,0.0422095,-0.833769,0.0127207,-0.0325882,0.142685,0.0630187
1403636625363555584,0.558756,0.0388453,-0.828166,0.020576,-0.0289102,0.1446,0.0944777
1403636625813555456,0.565753,0.043096,-0.82312,0.0232293,-0.0544164,0.135237,0.119902
1403636625963555584,0.576184,0.0417953,-0.815788,0.0274595,-0.0778529,0.126654,0.184911
1403636626163555584,0.580316,0.0338833,-0.812646,0.0411435,-0.112147,0.115026,0.275157
1403636626463555584,0.58251,0.0326527,-0.81092,0.044989,-0.143475,0.117724,0.337534
1403636627813555456,0.560313,0.0218421,-0.827744,0.0202778,-0.0743477,0.244958,0.370871
1403636628413555456,0.581362,-0.0140551,-0.813469,0.00941802,-0.115311,0.314734,0.426246
1403636629513555456,0.572479,-0.0665679,-0.816782,-0.0265192,-0.215344,0.583365,0.505512
1403636629863555584,0.548017,-0.121066,-0.824805,-0.0686894,-0.2688,0.73464,0.45423
1403636630313555456,0.565128,-0.158982,-0.802626,-0.105579,-0.368107,0.891928,0.422759
1403636630963555584,0.556664,-0.149203,-0.811023,-0.100526,-0.575561,1.13211,0.482075
1403636632263555584,0.564277,-0.134498,-0.807626,-0.106027,-1.0466,1.64764,0.408036
1403636633963555584,0.558464,-0.0637417,-0.826848,-0.0194072,-1.90048,2.06413,0.236536
1403636635313555456,0.562259,-0.0144056,-0.826772,-0.0102142,-2.76393,2.47766,0.258253
1403636635813555456,0.568622,-0.0263277,-0.822163,0.00489852,-3.04336,2.56271,0.295579
1403636636163555584,0.558066,-0.0235848,-0.829454,-0.00349721,-3.25525,2.66875,0.391034
1403636636763555584,0.591618,0.000513651,-0.805398,-0.0363461,-3.64818,2.87205,0.537155
1403636638213555456,0.579238,-0.00314716,-0.815134,-0.005425,-4.33867,3.03191,0.582779
1403636639313555456,0.564636,-0.019064,-0.824806,0.0227693,-4.94279,3.18891,0.531543
1403636639713555456,0.573508,0.00611082,-0.819116,-0.0100378,-5.22767,3.35236,0.439434
1403636641113555456,0.576156,0.0372291,-0.816308,0.0172891,-5.97125,3.74008,0.401001
1403636644313555456,0.561649,-0.0235183,-0.827041,-0.000574932,-6.73231,4.27407,0.40175
