time, q_w, q_x, q_y, q_z, p_x, p_y, p_z
1403638147895097088,0.554908,-0.0926144,-0.824224,-0.0644538,0.0178063,-0.0438893,0.0144998
1403638147945096960,0.560054,-0.0934624,-0.820545,-0.0656464,0.0146388,-0.042933,0.0194235
1403638147995097088,0.564136,-0.0944552,-0.817651,-0.0653835,0.0119422,-0.0418309,0.0258221
1403638148045096960,0.56798,-0.0937214,-0.814953,-0.0668322,0.00799523,-0.0404935,0.0338646
1403638148195097088,0.575598,-0.0903676,-0.809949,-0.0671052,-0.00544628,-0.0364632,0.0705698
1403638148295097088,0.576475,-0.0873269,-0.809802,-0.0653522,-0.0122498,-0.0343937,0.113636
1403638148395097088,0.57726,-0.0846544,-0.809683,-0.0633854,-0.0243615,-0.0328362,0.16433
1403638149145096960,0.567835,-0.0713398,-0.81811,-0.0563133,-0.127452,-0.0342468,0.25956
1403638150895097088,0.559726,-0.0115475,-0.828323,-0.0213111,-0.618819,-0.313157,0.387268
1403638151345096960,0.5684,0.056506,-0.820593,0.0188569,-0.849976,-0.520569,0.394466
1403638152395097088,0.561071,0.137111,-0.813615,0.0665647,-1.32755,-1.15221,0.53683
1403638153345096960,0.546417,0.189045,-0.807614,0.115972,-1.71823,-1.93321,0.600511
1403638154095097088,0.542684,0.276555,-0.774409,0.171179,-2.10769,-2.69988,0.699214
1403638155045096960,0.546368,0.312066,-0.75435,0.187223,-2.42672,-3.82124,0.697652
1403638155695097088,0.544073,0.361965,-0.714654,0.24947,-2.25523,-4.27481,0.7366
1403638156245096960,0.470827,0.45924,-0.683628,0.316342,-2.05262,-4.75995,0.699054
1403638157245096960,0.439193,0.489667,-0.679559,0.324862,-1.72924,-5.74499,0.652472
1403638158245096960,0.411634,0.562394,-0.599881,0.392955,-1.65594,-6.80982,0.738221
1403638159595097088,0.417251,0.535978,-0.597735,0.425842,-1.54669,-8.34995,0.791407
1403638160695097088,0.404935,0.568477,-0.602578,0.38699,-1.85599,-9.27942,1.38748
1403638161295097088,0.452765,0.49284,-0.641413,0.375103,-2.13915,-9.66453,1.70946
