time, q_w, q_x, q_y, q_z, v_x, v_y, v_z, p_x, p_y, p_z, b_w_x, b_w_y, b_w_z, b_a_x, b_a_y, b_a_z
1403638127295097088,0.546905,-0.0114862,-0.837116,0,0,0,0,0,0,0,0,0,0,0,0,0
1403638127345096960,0.546787,-0.0135119,-0.837162,0.00147434,-0.00110336,-0.00369696,-0.00630856,-5.11151e-05,3.15107e-06,-0.000261707,-2.21338e-06,0.000174375,0.000198659,7.08099e-08,-2.26304e-07,-1.16426e-07
1403638127395097088,0.54394,-0.0146577,-0.838994,0.00160617,-0.012086,0.00767628,-0.00399746,-0.000777579,0.000170953,-0.000295936,-5.75424e-05,0.000399826,0.000561454,-0.000512322,7.52884e-05,0.000154152
1403638127445096960,0.54742,-0.0162151,-0.836697,0.0026076,0.0127923,0.0117583,-0.00471181,0.00133344,0.000184341,-0.000652389,0.000407995,0.00197697,0.00186897,-0.000464539,-0.000155381,0.000254655
1403638127495097088,0.545728,-0.0186347,-0.837745,0.00418469,-0.00623264,0.0135111,-0.0177351,3.27845e-05,0.000302437,-0.00236481,0.00278283,0.00458464,0.00454582,-0.000856035,-6.49295e-05,0.000564794
1403638127545096960,0.551731,-0.0165708,-0.833858,-7.90008e-05,0.00576367,0.00164552,-0.0306937,-0.00173812,-0.00108156,-0.00629419,0.00437416,0.00532044,0.00655618,-0.00114698,0.00229055,0.000532773
1403638127595097088,0.551595,-0.0154066,-0.833965,-0.00281774,0.0181492,-0.0101871,-0.0258107,0.000998187,-0.00103967,-0.00589216,0.003822,0.00548545,0.00840842,-0.0069202,0.00508345,0.000603434
1403638127645096960,0.5507,-0.0164391,-0.83454,-0.00158935,0.0195545,-0.000385695,-0.0156858,0.00222565,-0.00132157,-0.00640576,0.00339411,0.00574978,0.0119971,-0.0281959,0.00513905,0.00524536
1403638127695097088,0.549539,-0.0171165,-0.835292,-0.000768821,0.0161308,-0.000677264,-0.0146482,0.00318087,-0.000651088,-0.005806,0.00215755,0.00491806,0.0193426,-0.0397224,0.00481858,0.00533522
1403638127745096960,0.548224,-0.0168554,-0.836161,-0.000954151,0.00408556,-0.000351529,-0.0133629,0.00285349,-0.000714774,-0.00564208,0.00193057,0.00291478,0.0283619,-0.0377022,0.00380758,0.000799309
1403638127795097088,0.548188,-0.0156855,-0.836208,-0.000929669,0.00680794,0.00206571,-0.00905604,0.00292247,-0.00032045,-0.00492841,0.000429875,0.00202595,0.0409705,-0.0390578,0.00245763,0.00532014
1403638127845096960,0.547903,-0.0153228,-0.836401,-0.000611686,0.00580467,0.00232412,-0.00873112,0.00290537,-0.000476665,-0.00480358,4.99707e-05,0.00528505,0.0486799,-0.0403524,0.00202022,0.00837795
