time, q_w, q_x, q_y, q_z, p_x, p_y, p_z
1403638539027829504,0.555856,-0.075218,-0.826222,-0.0521899,-0.128341,0.106517,-0.0248348
1403638539127829504,0.565453,-0.076324,-0.819581,-0.0522029,-0.132212,0.106783,-0.0174884
1403638539227829504,0.572446,-0.0754684,-0.814796,-0.0521301,-0.138282,0.106792,-0.00380935
1403638539277829376,0.574016,-0.0751542,-0.813718,-0.0521599,-0.141937,0.106773,0.00594474
1403638539427829504,0.571769,-0.0740595,-0.815441,-0.0514919,-0.152663,0.106649,0.0467023
1403638539677829376,0.567493,-0.0723746,-0.818715,-0.0491969,-0.204241,0.11298,0.124723
1403638539977829376,0.555912,-0.0698324,-0.826993,-0.0465609,-0.247977,0.117271,0.164127
1403638540327829504,0.552604,-0.0678174,-0.829355,-0.0469065,-0.33538,0.124651,0.19812
1403638540927829504,0.564713,0.0342669,-0.824559,-0.00515811,-0.628455,0.109982,0.235532
1403638542127829504,0.558443,0.151641,-0.810174,0.0936145,-1.27476,-0.354633,0.418135
1403638543027829504,0.547805,0.246888,-0.783955,0.156111,-1.63014,-0.996187,0.541778
1403638543877829376,0.531606,0.317519,-0.760715,0.194652,-1.77349,-1.7609,0.657836
1403638544527829504,0.510292,0.360502,-0.742181,0.242503,-1.86249,-2.38858,0.785947
1403638545827829504,0.495552,0.410121,-0.712052,0.281444,-2.10913,-3.55139,0.788378
1403638546527829504,0.45837,0.486101,-0.668269,0.327138,-2.20643,-4.06071,0.821925
1403638547377829376,0.455993,0.514576,-0.647242,0.32918,-2.29769,-4.92381,0.876754
1403638548327829504,0.437068,0.529719,-0.636768,0.350564,-2.17928,-5.86234,0.751065
1403638549177829376,0.41107,0.567625,-0.602991,0.381084,-2.01569,-6.93394,0.916787
1403638550027829504,0.409025,0.559732,-0.608405,0.386318,-1.87052,-7.84569,1.22024
1403638550927829504,0.418824,0.544732,-0.599913,0.409827,-1.80097,-9.46664,1.71041
1403638551627829504,0.426062,0.497616,-0.641019,0.39993,-1.95065,-10.2859,1.95425
1403638552577829376,0.478018,0.425485,-0.67954,0.358729,-2.61401,-10.9105,2.23742
1403638553327829504,0.490713,0.43994,-0.659077,0.362313,-3.36857,-11.0048,2.30236
1403638554027829504,0.494545,0.453548,-0.654255,0.348813,-4.03274,-10.6561,2.49218
1403638554527829504,0.473213,0.470344,-0.669552,0.326414,-4.38062,-10.214,2.58425
1403638555277829376,0.475292,0.438672,-0.688655,0.327748,-4.83325,-9.56043,2.68198
1403638555577829376,0.486314,0.427695,-0.694841,0.312684,-5.05309,-9.27522,2.67329
1403638556477829376,0.465923,0.433523,-0.709868,0.301762,-5.63376,-8.57956,2.805
1403638557077829376,0.470137,0.417558,-0.707261,0.323107,-6.10909,-8.30575,2.91771
1403638557677829376,0.483999,0.432052,-0.696938,0.305539,-6.74234,-8.00551,2.98894
1403638558227829504,0.465611,0.436945,-0.710828,0.294973,-7.36833,-7.72614,3.04569
1403638558977829376,0.46527,0.426938,-0.713613,0.303323,-8.23692,-7.64923,3.24046
1403638559627829504,0.48769,0.4367,-0.695772,0.295555,-9.03838,-7.76714,3.24449
1403638560277829376,0.507842,0.377975,-0.726077,0.268412,-9.79113,-7.92357,3.15895
1403638560677829376,0.547364,0.272515,-0.759203,0.223022,-10.1419,-8.00575,3.01985
1403638561227829504,0.582181,0.157526,-0.780595,0.164081,-10.6725,-7.96541,2.9297
1403638562477829376,0.581648,0.100931,-0.803009,0.0816985,-11.3301,-7.34162,2.78767
1403638563327829504,0.594203,-0.0776903,-0.800515,-0.00789682,-11.344,-6.84309,2.79977
1403638564177829376,0.600295,-0.077763,-0.795986,-0.00213357,-11.0955,-6.00805,2.72928
1403638564727829504,0.601678,-0.0660674,-0.79598,0.00588515,-10.6397,-5.33039,2.77549
1403638565077829376,0.601409,-0.0725704,-0.795531,0.013098,-10.265,-4.77993,2.70881
1403638565327829504,0.598853,-0.0718721,-0.79755,0.0110696,-9.95401,-4.27957,2.55608
1403638565527829504,0.600899,-0.0687829,-0.796354,0.00301195,-9.715,-3.93831,2.42788
1403638565727829504,0.602402,-0.0589925,-0.795812,-0.0177402,-9.42243,-3.55029,2.32713
1403638565877829376,0.597061,-0.0541821,-0.799856,-0.0285015,-9.2087,-3.28138,2.2705
1403638566027829504,0.593345,-0.0555098,-0.802443,-0.0307612,-8.97211,-3.00965,2.21628
1403638566177829376,0.592935,-0.0563894,-0.802686,-0.0307228,-8.74085,-2.75614,2.15036
1403638566477829376,0.591607,-0.0552123,-0.803835,-0.0283336,-8.30787,-2.30141,1.97225
1403638566727829504,0.56521,-0.0518291,-0.822938,-0.0249912,-7.95357,-1.95879,1.78701
