time, q_w, q_x, q_y, q_z, v_x, v_y, v_z, p_x, p_y, p_z, b_w_x, b_w_y, b_w_z, b_a_x, b_a_y, b_a_z
1403638518127829504,0.553173,-0.00356741,-0.833059,0,0,0,0,0,0,0,0,0,0,0,0,0
1403638518177829376,0.55369,-0.00533782,-0.832705,0.00124705,0.00176833,0.00465182,-0.00525345,8.08558e-05,0.000171851,-0.000232269,-0.000291919,0.00020206,0.000175705,3.27493e-07,-1.93981e-07,-2.12247e-08
1403638518227829504,0.550628,-0.00389183,-0.834739,-0.00224595,-0.00875909,0.000767658,-0.00996878,-0.000516723,0.000349915,-0.000827757,-0.000638287,0.00050861,0.000840624,1.14941e-06,2.49733e-06,-1.15326e-05
1403638518277829376,0.55103,-0.00546105,-0.834467,-0.00118969,-0.0107184,0.0041464,-0.0197315,-0.000966654,0.000793645,-0.00266413,-0.00135256,0.000685878,0.00152563,3.479e-06,-3.67054e-06,-1.09467e-05
1403638518327829504,0.551203,-0.00562534,-0.83435,-0.00189118,0.00459187,-0.00166888,-0.00636516,0.0020325,0.000675712,-0.000563338,-0.00229783,0.00255506,0.0046243,0.00548401,0.0014101,-0.000260171
1403638518377829376,0.551912,-0.00777805,-0.833866,0.000352913,-0.00990077,0.000321834,-0.00506819,-0.00115193,-3.72944e-05,-0.000450933,-0.00262344,0.00428494,0.00794133,0.00256536,0.000208286,0.000757595
1403638518427829504,0.552616,-0.00910162,-0.833385,0.00159133,-0.00520451,0.00592417,-0.00707211,-0.000279278,0.000446676,-0.000803112,-0.00323725,0.00429952,0.0100656,0.0018388,9.2021e-05,0.00127389
1403638518477829376,0.552929,-0.00987228,-0.833167,0.0020074,-0.0043083,0.00761367,-0.006326,-3.89518e-07,0.000607467,-0.000693333,-0.00356809,0.00466441,0.01231,-0.000298757,0.000287394,0.00219242
1403638518527829504,0.55265,-0.00992374,-0.833353,0.00153901,-0.012903,0.00454012,-0.00733708,-0.00241723,3.39612e-05,-0.000964236,-0.00359507,0.00491314,0.015929,-0.00223583,0.000399423,0.00199662
1403638518577829376,0.552899,-0.010966,-0.833173,0.00241224,-0.0262357,0.0125733,-0.00951682,-0.00850621,0.00150593,-0.00212282,-0.00389325,0.00442264,0.0172801,-0.00376648,0.000189891,0.00204552
1403638518627829504,0.552795,-0.0117055,-0.833229,0.00304062,-0.0163953,0.0150643,-0.00484663,-0.00354161,0.000640607,-0.000712431,-0.00426904,0.00440311,0.0194546,-0.0146412,3.0819e-05,0.00567665
1403638518677829376,0.553526,-0.0122425,-0.832737,0.00297479,-0.00855822,0.0138706,-0.00506154,-0.00185301,0.00021929,-0.000663887,-0.00389281,0.00505921,0.0206876,-0.01201,0.00119207,0.006752
1403638518727829504,0.554347,-0.0127065,-0.832184,0.00285546,-0.00285821,0.0137135,-0.004699,-0.00180888,-0.000119446,-0.000374995,-0.00368555,0.00544206,0.0217578,-0.00951072,0.0020351,0.00812942
1403638518777829376,0.554388,-0.0130117,-0.832154,0.00214621,-0.00235353,0.0072621,-0.00406172,-0.00170262,-0.00129132,0.000237626,-0.00306843,0.00644873,0.0224283,-0.00845178,0.00244006,0.00824913
1403638518827829504,0.554408,-0.0136745,-0.832129,0.00237456,-0.00173838,0.00989692,-0.00333579,-0.00158943,-0.00158991,0.000570686,-0.00281887,0.00716305,0.023367,-0.0107998,0.00228482,0.00862059
1403638518877829376,0.55442,-0.0140946,-0.832115,0.00231125,-0.00758731,0.0112811,-0.00411336,-0.00582001,-0.000282881,-0.000327764,-0.00268988,0.00739315,0.0244161,-0.0126793,0.00220963,0.00841371
1403638518927829504,0.554509,-0.0146311,-0.832046,0.00231565,0.000234742,0.00862894,-0.00165182,-0.000543347,-0.00282315,0.0010563,-0.00242799,0.00802013,0.0253927,-0.0141602,0.00226469,0.00937557
1403638518977829376,0.554603,-0.0148578,-0.83198,0.00207429,-0.00271234,0.0083211,-0.00279105,-0.00334727,-0.00189926,7.4566e-05,-0.00222128,0.00826247,0.0269425,-0.0144424,0.0022346,0.00904919
1403638519027829504,0.554718,-0.0152245,-0.831896,0.00222578,-0.000731473,0.0109472,-0.00148694,-0.00184862,-0.00278085,0.000216721,-0.00198964,0.00842513,0.028833,-0.0164317,0.00189622,0.00862959
1403638519077829376,0.554812,-0.0157035,-0.831824,0.00243176,-0.00209152,0.0160278,-0.00226384,-0.00445318,-0.0020332,0.000363057,-0.00161599,0.00896706,0.0308493,-0.0154002,0.00162925,0.00846253
1403638519127829504,0.554756,-0.0156573,-0.831863,0.00197303,-0.00321265,0.0134113,-0.00157174,-0.00590903,-0.0024646,0.000692817,-0.00126244,0.00968442,0.0329043,-0.0161074,0.00171767,0.00912681
1403638519177829376,0.55475,-0.0158787,-0.831864,0.00148256,-0.00398869,0.0103245,-0.00148764,-0.00803264,-0.00306355,0.00110084,-0.000629771,0.0104673,0.0345738,-0.0155406,0.00182032,0.00987531
1403638519227829504,0.555077,-0.015714,-0.83165,0.00105599,0.00739719,0.00134212,0.00210614,-0.00114193,-0.0098525,0.0038286,-0.00031345,0.0108171,0.0368812,-0.0162651,0.0019258,0.0121279
1403638519277829376,0.554351,-0.0114604,-0.832204,-0.000388404,0.00960824,-0.00423103,0.00367957,0.000380185,-0.00698018,0.00321821,0.000739664,0.0156939,0.0535712,-0.020649,0.000665307,0.0147815
1403638519327829504,0.553747,-0.006194,-0.832662,-0.000413298,0.00393257,-0.0120063,0.00464333,-0.00342927,-0.0120532,0.00990513,-0.00104557,0.0191451,0.0694303,-0.0156027,0.000186534,0.00925861
1403638519377829376,0.553897,-0.00446071,-0.832573,-0.000534271,0.0113848,-0.00663694,-0.00180262,0.000576562,-0.00452792,0.00375324,-0.00140369,0.0201247,0.0747373,-0.0145167,0.000101741,0.00799345
1403638519427829504,0.552846,-0.00379669,-0.833275,-1.17322e-05,-0.00533418,0.00470356,-0.00622679,-3.92588e-05,-0.000239737,-6.88818e-05,-0.00176439,0.0201816,0.0773224,-0.0132691,5.33232e-05,0.00697774
